"PACZKI POCZTOWE EKONOMICZNE I PRIORYTETOWE","","","",""
"- informacje o podziale krajów i terytoriów na strefy","","","",""
"Poz.","Nazwa kraju lub terytorium","","Strefa, do której zaliczono dany  kraj lub dane terytorium",""
"107","Lesotho","","20","B"
"108","Liban","","30","C"
"109","Liberia","","","B"
"110","Libia","","20","B"
"111","Litwa","","10","A1"
"112","Luksemburg","","10","A1"
"113","Łotwa","","10","A1"
"114","Macedonia","","10","A2"
"115","Madagaskar","","20","B"
"116","Majotta (Mayotte)","","20","B"
"117","Malawi","","20","B"
"1","2","","3","4"
"118","Malezja","","30","C"
"119","Mali","","20","B"
"120","Malta","","10","A2"
"121","Maroko","","20","B"
"122","Martynika","","30","C"
"123","Mauretania","","20","B"
"124","Mauritius","","20","B"
"125","Meksyk","","20","B"
"126","Mołdawia (Mołdowa)","","10","A2"
"127","Mongolia","","30","C"
"128","Mozambik","","20","B"
"129","Myanmar (Birma)","","30","C"
"130","Namibia","","20","B"
"131","Nauru","","40","D"
"132","Nepal","","30","C"
"133","Niemcy","","13","A5"
"134","Niger","","20","B"
"135","Nigeria","","20","B"
"136","Nikaragua","","30","C"
"137","Norwegia","","11","A2"
"138","Nowa Kaledonia","","40","D"
"139","Nowa  Zelandia","","40","D"
"140","Oman","","30","C"
"141","Pakistan","","30","C"
"142","Panama","","30","C"
"143","Papua - Nowa Gwinea","","40","D"
"144","Paragwaj","","30","C"
"145","Peru","","30","C"
"146","Polinezja Francuska","","40","D"
"147","Portugalia z Azorami i Maderą","","11","A3"
"148","Republika Demokratyczna Konga (d. Zair)","","Patrz: Kongo Republika Demokratyczna (d. Zair)",""
"149","Republika Południowej Afryki (RPA)","","20","B"
"1","2","","3","4"
"150","Republika Środkowoafrykańska (Centrafrique)","","20","B"
"151","Republika Zielonego Przylądka (Cap Vert)","","20","B"
"152","Reunion","","20","B"
"153","Rosja","","11","A3"
"154","Rumunia","","10","A2"
"155","Rwanda (Ruanda)","","20","B"
"156","Salwador","","30","C"
"157","Senegal","","20","B"
"158","Serbia","","10","A2"
"159","Seszele","","20","B"
"160","Sierra Leone","","20","B"
"161","Singapur","","30","C"
"162","Słowacja","","12","A4"
"163","Słowenia","","10","A1"
"164","Somalia","","20","B"
"165","Sri Lanka","","30","C"
"166","Stany Zjednoczone Ameryki (USA)","","20","B"
"167","Suazi (Swaziland)","","20","B"
"168","Sudan","","20","B"
"169","Sudan Południowy","","20","B"
"170","Surinam","","30","C"
"171","Syria","","30","C"
"172","Szwajcaria z Liechtensteinem","","11","A1"
"173","Szwecja","","10","A2"
"174","Świętej Heleny Wyspa (St.Helen, Saint Helen, Sainte - Hélène)","","20","B"
"175","Świętego Krzysztofa Wyspa i Nevis
(St. Kitts and Nevis, Saint Kitts and Nevis, Saint- Christophe et Nevis)","","30","C"
"176","Świętej Łucji Wyspa
(St. Lucia, Saint Lucia, Sainte Lucia)","","30","C"
"177","Świętego Tomasza i Książęca Wyspy (Sao Tome et Principe)","","20","B"
"1","2","","3","4"
"178","Świętego Wincenta Wyspa i Grenadyny (St. Vincent and Grenadines,
Saint Vincent and Grenadines, Saint-Vincent-et-Grenadines)","","30","C"
"179","Tadżykistan","","30","C"
"180","Tajlandia","","30","C"
"181","Tajwan","","30","C"
"182","Tanzania","","20","B"
"183","Togo","","20","B"
"184","Tristan da Cunha (Wyspy)","","20","B"
"185","Trynidad i Tobago","","30","C"
"186","Tunezja","","20","B"
"187","Turcja","","10","A2"
"188","Turkmenistan","","30","C"
"189","Uganda","","20","B"
"190","Ukraina","","10","A1"
"191","Urugwaj","","30","C"
"192","Uzbekistan","","30","C"
"193","Vanuatu","","40","D"
"194","Watykan","","10","A1"
"195","Wenezuela","","30","C"
"196","Węgry","","11","A1"
"197","Wielka  Brytania oraz Irlandia Płn. (bez terytoriów zamorskich)","","11","A3"
"198","Wietnam","","30","C"
"199","Włochy z San Marino","","11","A2"
"200","Wniebowstąpienia Wyspa (Ascension)","","20","B"
"201","Wybrzeże  Kości Słoniowej (Cote d'Ivoire)","","20","B"
"202","Zambia","","20","B"
"203","Zimbabwe","","20","B"
"204","Zjednoczone Emiraty Arabskie","","30","C"
